aX,aY,aZ,gX,gY,gZ
0.211,0.735,0.352,197.754,-185.669,-143.86
0.338,0.642,0.617,206.36,-173.828,-174.622
0.445,0.381,0.785,213.684,-146.667,-185.913
0.491,0.177,0.724,214.6,-125.366,-167.48
0.474,0.207,0.533,206.726,-125.671,-143.127
0.455,0.526,0.498,195.19,-148.376,-130.676
0.539,0.814,0.791,191.956,-162.72,-153.442
0.708,0.68,1.267,200.073,-141.968,-197.632
0.818,0.23,1.637,213.196,-81.787,-212.219
0.776,-0.121,1.47,226.624,-3.723,-179.382
0.603,0.075,0.863,225.159,14.954,-128.784
0.375,0.792,0.683,211.426,-29.663,-104.797
0.194,1.459,0.881,214.417,-49.683,-123.84
0.213,1.655,0.814,231.873,-66.345,-172.424
0.474,1.395,0.918,239.38,-114.929,-224.304
0.834,0.901,1.523,238.892,-124.878,-244.141
1.104,0.34,2.03,236.877,-74.951,-232.3
1.131,-0.003,1.931,228.516,-3.357,-171.204
0.953,0.319,1.33,207.825,26.611,-82.275
0.777,1.205,0.772,176.208,-8.667,-37.415
0.701,2.149,0.819,161.377,-83.923,-59.814
0.755,2.813,1.475,176.697,-131.287,-125.977
1.011,2.748,2.073,210.571,-119.507,-229.065
1.306,1.857,2.347,232.483,-94.421,-294.006
1.449,0.955,2.604,228.882,-61.584,-265.564
1.445,0.543,2.824,219.971,-6.653,-200.073
1.317,0.422,2.836,193.787,39.978,-131.042
1.113,0.464,2.662,167.358,72.693,-58.105
0.936,0.744,2.274,141.663,88.867,-9.094
0.795,1.075,1.899,124.756,65.125,-9.888
0.671,1.127,1.735,117.493,32.837,-42.297
0.633,0.858,1.6,113.831,3.662,-85.51
0.688,0.435,1.519,102.6,-37.17,-110.901
0.815,0.101,1.662,77.942,-77.698,-113.159
0.972,-0.141,1.972,50.11,-93.506,-105.225
1.092,-0.44,2.244,29.48,-78.064,-82.642
1.108,-0.665,2.338,17.273,-44.25,-25.391
1.011,-0.574,2.311,7.874,-8.545,35.461
0.815,-0.259,2.201,5.859,38.94,72.388
0.583,0.091,1.916,8.911,85.022,91.492
0.375,0.378,1.522,5.981,106.445,101.013
0.187,0.635,1.195,-3.662,103.943,108.154
0.046,0.898,0.942,-9.338,95.276,95.032
-0.029,1.034,0.702,-11.658,77.454,62.5
-0.031,1.031,0.543,-15.015,48.523,29.175
0.017,0.962,0.514,-18.066,19.409,-4.761
0.094,0.746,0.557,-21.301,1.648,-17.822
0.195,0.626,0.627,-28.564,-7.812,-2.258
0.294,0.651,0.697,-26.367,-6.409,-12.146
0.363,0.503,0.696,-19.958,1.892,-18.616
0.402,0.357,0.691,-24.109,1.282,4.15
0.411,0.385,0.732,-28.32,4.822,28.381
0.389,0.468,0.753,-29.297,9.827,41.199
0.349,0.559,0.774,-26.978,14.038,46.021
0.306,0.651,0.79,-22.034,19.836,41.26
0.273,0.687,0.776,-17.7,24.292,30.029
0.254,0.651,0.732,-14.526,26.611,22.339
0.245,0.611,0.683,-15.686,24.292,20.325
0.248,0.597,0.66,-16.785,21.423,16.907
0.253,0.566,0.649,-15.686,19.714,14.221
0.255,0.536,0.645,-15.198,16.724,16.479
0.248,0.535,0.65,-14.465,13.55,21.301
0.234,0.561,0.667,-14.221,9.949,25.024
0.218,0.583,0.695,-11.169,9.094,24.841
0.727,0.245,1.746,-83.13,-59.082,47.974
0.757,0.275,1.797,-90.454,-42.114,54.626
0.785,0.322,1.845,-96.741,-26.367,62.5
