aX,aY,aZ,gX,gY,gZ
-0.248,-0.538,0.839,-13.977,-10.254,13.428
-0.226,-0.523,0.852,-13.794,-9.155,13.916
-0.213,-0.499,0.849,-13.245,-6.226,13.611
-0.214,-0.478,0.817,-10.803,-5.92,11.292
-0.212,-0.473,0.784,-8.362,-9.094,8.301
-0.205,-0.477,0.78,-8.972,-12.878,5.188
-0.206,-0.477,0.809,-7.507,-15.442,2.563
-0.205,-0.501,0.845,-3.357,-15.381,-0.549
-0.21,-0.532,0.871,-0.244,-13.855,0.488
-0.22,-0.54,0.882,3.113,-11.353,0.793
-0.226,-0.557,0.876,5.554,-9.338,2.686
-0.221,-0.556,0.863,4.883,-7.324,6.409
-0.215,-0.536,0.843,2.258,-4.456,8.362
-0.906,-0.087,1.623,-52.063,-195.862,44.373
-0.968,-0.125,1.624,-49.194,-202.637,41.992
-1.033,-0.21,1.552,-42.725,-208.984,45.654
-1.066,-0.257,1.449,-37.598,-218.262,57.8
-1.056,-0.212,1.34,-42.053,-222.168,69.58
-1.027,-0.118,1.178,-58.289,-220.032,82.153
-0.975,0.038,0.987,-78.064,-231.323,95.764
-0.883,0.193,0.875,-92.529,-254.456,93.262
-0.791,0.225,0.855,-102.173,-278.503,83.252
-0.702,0.167,0.904,-108.826,-298.157,78.857
-0.612,0.068,1.001,-114.136,-305.542,80.566
-0.538,-0.036,1.107,-119.446,-297.119,90.332
-0.501,-0.125,1.173,-119.507,-271.912,100.342
-0.513,-0.238,1.154,-113.525,-239.136,113.098
-0.541,-0.349,1.02,-103.516,-206.909,133.545
-0.536,-0.415,0.822,-87.891,-182.007,157.104
-0.474,-0.427,0.637,-69.397,-157.959,177.734
-0.387,-0.398,0.394,-56.885,-128.845,188.049
-0.291,-0.34,0.062,-52.551,-110.901,186.951
-0.172,-0.264,-0.225,-53.162,-109.619,173.462
-0.06,-0.251,-0.402,-46.631,-107.971,145.081
0.057,-0.38,-0.507,-26.428,-94.849,109.558
0.208,-0.566,-0.522,-14.587,-65.552,82.275
0.316,-0.73,-0.473,-10.437,-18.25,57.068
0.266,-0.987,-0.626,14.099,36.621,20.996
0.034,-1.383,-1.131,35.217,71.716,-15.869
-0.355,-1.846,-1.71,37.537,66.528,-47.241
-0.74,-2.192,-2.02,26.489,30.151,-70.496
-0.88,-2.234,-1.935,3.296,-11.963,-92.834
-0.811,-2.222,-1.617,-4.883,-39.673,-114.014
-0.654,-2.419,-1.293,2.747,-56.091,-109.253
-0.375,-2.633,-0.998,14.832,-62.134,-63.904
0.12,-2.694,-0.756,30.945,-52.917,2.075
0.842,-2.633,-0.616,51.636,-30.273,69.824
1.574,-2.347,-0.549,54.504,4.517,122.864
2.089,-1.904,-0.641,53.04,40.405,127.258
2.329,-1.605,-0.871,46.936,54.688,85.144
2.333,-1.48,-0.94,28.931,39.978,30.945
2.139,-1.472,-0.778,0.427,25.635,-16.235
1.838,-1.526,-0.547,-10.254,19.714,-46.143
1.515,-1.547,-0.302,-11.963,20.325,-55.481
1.192,-1.525,-0.162,2.075,34.912,-53.894
0.877,-1.492,-0.217,-8.24,51.086,-45.41
0.61,-1.446,-0.305,-16.541,52.795,-35.156
0.411,-1.378,-0.301,-23.193,55.115,-28.503
0.247,-1.323,-0.237,-27.161,57.19,-24.597
0.107,-1.295,-0.117,-22.522,57.556,-22.095
0.018,-1.279,0.019,-16.174,65.247,-20.203
-0.036,-1.249,0.059,-19.592,69.153,-18.555
-0.062,-1.171,0.113,-31.799,60.669,-19.897
-0.106,-1.11,0.223,-6.409,55.42,-33.264
-0.193,-1.138,0.263,21.423,56.824,-39.673
-0.244,-1.148,0.265,32.959,59.143,-31.189
-0.261,-1.053,0.3,33.203,63.843,-17.273
-0.268,-0.922,0.324,37.415,75.256,-7.751
-0.281,-0.832,0.277,39.49,85.815,-0.671
-0.286,-0.773,0.215,39.856,87.524,5.249
-0.277,-0.723,0.198,40.039,84.534,8.484
-0.255,-0.673,0.224,39.246,83.74,8.606
-0.213,-0.61,0.271,36.438,86.243,4.761
-0.177,-0.522,0.33,34.729,87.891,-2.869
-0.175,-0.444,0.391,37.476,88.623,-15.625
-0.191,-0.42,0.42,43.091,88.44,-28.564
-0.214,-0.434,0.42,47.302,83.862,-36.987
-0.238,-0.463,0.442,48.645,77.881,-41.809
-0.26,-0.52,0.481,51.025,74.097,-44.067
-0.286,-0.59,0.524,50.842,69.275,-42.725
-0.286,-0.618,0.599,45.959,64.819,-35.583
-0.268,-0.602,0.698,42.114,65.063,-28.931
-0.237,-0.574,0.789,42.542,68.115,-25.208
-0.181,-0.531,0.862,41.565,75.195,-24.048
-0.128,-0.494,0.9,42.542,87.036,-26.123
-0.088,-0.462,0.872,45.654,100.403,-27.466
-0.055,-0.426,0.789,47.607,108.643,-30.09
-0.05,-0.422,0.686,45.654,109.375,-36.682
-0.077,-0.455,0.605,39.063,100.098,-45.105
-0.124,-0.513,0.593,32.166,81.604,-52.307
-0.147,-0.564,0.676,27.222,59.265,-55.054
-0.134,-0.575,0.851,23.193,44.25,-54.382
-0.12,-0.549,1.048,25.696,48.462,-51.147
-0.098,-0.522,1.142,28.687,69.092,-47.424
-0.071,-0.496,1.095,24.17,96.68,-40.894
-0.059,-0.456,0.932,17.151,120.667,-33.813
-0.053,-0.423,0.736,3.052,125.427,-26.123
-0.061,-0.381,0.643,-13.062,116.15,-21.79
-0.083,-0.34,0.645,-23.682,109.68,-24.048
-0.102,-0.367,0.654,-28.809,101.135,-27.1
-0.104,-0.431,0.706,-31.616,89.417,-24.963
-0.087,-0.429,0.813,-39.795,86.06,-20.569
-0.085,-0.35,0.863,-45.654,94.238,-22.4
-0.117,-0.316,0.79,-40.1,98.816,-34.485
-0.152,-0.376,0.662,-35.156,89.844,-47.119
-0.167,-0.469,0.597,-36.316,72.571,-55.725
-0.168,-0.566,0.639,-41.26,57.983,-59.387
-0.164,-0.652,0.748,-43.091,52.429,-59.937
-0.162,-0.763,0.875,-39.307,52.917,-58.716
-0.166,-0.863,0.994,-36.377,58.472,-48.706
-0.175,-0.876,1.066,-31.372,69.336,-39.612
-0.202,-0.862,1.033,-23.01,77.637,-37.781
-0.223,-0.846,0.991,-41.809,74.89,-34.546
-0.229,-0.789,1.016,-13.611,70.557,-43.274
-0.289,-0.825,0.904,23.865,67.932,-52.063
-0.319,-0.865,0.837,30.64,48.096,-44.373
-0.303,-0.862,0.925,32.349,49.011,-46.692
-0.313,-0.891,1.011,30.762,51.819,-39.001
-0.328,-0.847,1.091,22.949,61.401,-30.579
-0.34,-0.794,1.091,16.479,67.444,-26.245
-0.347,-0.746,1.059,10.01,65.43,-21.24
-0.35,-0.68,1.043,8.423,59.631,-18.25
-0.347,-0.635,1.031,11.169,53.162,-16.968
-0.343,-0.602,1.017,14.771,46.265,-17.578
-0.35,-0.595,1.014,17.822,37.659,-19.47
-0.361,-0.606,1.028,17.151,30.273,-16.479
-0.36,-0.583,1.041,12.817,26.733,-12.39
-0.362,-0.562,1.02,8.057,24.719,-11.292
-0.366,-0.584,0.987,2.93,18.188,-7.568
-0.352,-0.597,0.995,-1.648,10.498,-2.136
-0.333,-0.597,1.022,-2.258,7.629,-1.526
-0.323,-0.626,1.02,1.404,4.395,-2.197
-0.315,-0.654,1.005,5.676,0.427,-0.916
-0.678,-0.496,1.469,-26.855,-71.533,65.674
-0.684,-0.434,1.538,-27.893,-85.327,78.43
-0.637,-0.297,1.689,-32.471,-94.604,82.581
-0.623,-0.111,1.884,-38.33,-92.773,67.2
-0.724,-0.034,1.966,-37.231,-83.618,38.147
-0.845,-0.102,1.862,-34.485,-85.938,20.996
-0.934,-0.161,1.714,-40.466,-108.215,20.813
-1,-0.145,1.65,-50.232,-138.245,24.841
-1.039,-0.107,1.647,-58.472,-165.466,27.71
-1.061,-0.079,1.642,-61.707,-189.27,31.311
-1.085,-0.064,1.636,-60.608,-210.693,35.828
-1.093,-0.065,1.639,-57.983,-224.976,44.373
-1.067,-0.076,1.629,-49.622,-232.483,56.824
-1.016,-0.105,1.578,-38.147,-231.75,73.486
-0.929,-0.132,1.483,-35.645,-225.952,94.482
-0.812,-0.134,1.387,-38.635,-216.37,112.244
-0.686,-0.144,1.317,-45.166,-200.073,127.014
-0.555,-0.181,1.235,-54.016,-174.866,140.869
-0.43,-0.23,1.072,-69.092,-142.395,151.367
-0.339,-0.237,0.861,-91.553,-111.206,160.828
-0.278,-0.185,0.695,-105.042,-87.83,168.823
-0.232,-0.165,0.497,-105.652,-68.298,167.48
-0.234,-0.239,0.191,-99.915,-60.791,158.691
-0.236,-0.386,-0.107,-81.848,-73.792,147.705
-0.15,-0.571,-0.278,-53.162,-93.811,140.198
0.001,-0.773,-0.367,-23.254,-99.548,134.338
