aX,aY,aZ,gX,gY,gZ
0.296,-0.122,0.044,-166.321,-12.39,67.81
0.334,-0.07,0.143,-111.145,27.344,69.824
0.375,0.009,0.127,19.531,63.782,55.054
0.42,0.109,-0.057,112.244,88.928,29.175
0.461,0.15,-0.318,153.564,92.957,-5.127
0.479,0.102,-0.533,150.391,73.364,-34.912
0.48,-0.007,-0.63,130.92,41.443,-46.387
0.484,-0.125,-0.609,99.426,12.878,-38.208
0.467,-0.209,-0.476,48.95,1.831,-14.648
0.41,-0.205,-0.292,3.845,11.108,16.541
0.397,-0.109,-0.139,-32.715,34.973,43.518
0.451,0.019,-0.054,-44.983,56.274,50.232
0.51,0.113,-0.053,-38.086,68.054,39.612
0.565,0.127,-0.095,-23.437,66.772,21.912
0.597,0.069,-0.123,4.15,54.81,5.31
0.596,-0.01,-0.142,46.326,40.222,-2.625
0.577,-0.064,-0.163,60.852,28.809,-2.991
0.535,-0.087,-0.153,33.508,22.949,-1.343
0.479,-0.089,-0.093,-1.343,24.048,0
0.477,-0.065,0.006,-14.099,29.602,-0.916
0.578,-0.022,0.111,-1.831,37.72,-6.409
0.726,0.004,0.165,20.081,45.898,-17.883
0.827,-0.023,0.133,32.898,51.086,-28.015
0.866,-0.086,0.045,26.062,50.659,-28.442
0.87,-0.135,-0.048,-1.343,46.021,-18.433
0.846,-0.137,-0.123,-43.396,40.039,-1.526
1.94,-0.198,0.7,4.211,75.928,14.465
1.946,-0.166,0.358,24.902,95.459,43.274
1.816,-0.128,0.062,13.916,91.736,73.486
1.585,-0.03,-0.099,1.526,66.895,94.788
1.301,0.126,-0.153,-3.601,27.771,91.492
1.034,0.261,-0.079,-2.197,-19.348,60.059
0.952,0.301,0.121,27.405,-57.251,19.47
1.133,0.239,0.335,41.565,-76.416,-14.954
1.364,0.135,0.501,43.762,-70.313,-30.151
1.529,0.053,0.539,106.323,-32.959,-14.832
1.593,0.103,0.35,105.103,1.404,10.376
1.51,0.263,0.146,94.604,25.269,28.015
1.411,0.434,0.005,106.018,40.833,36.682
1.322,0.621,-0.085,102.234,46.692,31.006
1.207,0.752,-0.114,88.745,47.485,7.385
1.154,0.824,-0.097,78.613,34.729,-14.954
1.324,0.905,0.059,62.256,19.592,-35.706
1.712,0.942,0.332,37.231,9.705,-60.913
2.084,0.886,0.665,9.094,12.756,-84.167
2.352,0.792,0.918,-3.479,40.71,-95.154
2.608,0.763,0.898,-5.066,73.853,-104.919
2.907,0.758,0.699,-17.151,85.266,-133.85
3.293,0.593,0.555,-57.739,77.881,-181.763
3.582,0.2,0.452,24.902,55.908,-229.736
3.621,-0.231,0.274,20.63,42.542,-232.117
3.58,-0.631,0.141,-44.189,57.495,-188.293
3.414,-0.931,0.09,-38.879,50.415,-107.605
3.091,-0.93,0.044,7.69,39.673,-7.324
2.669,-0.611,-0.011,67.2,21.118,76.904
2.055,-0.101,-0.067,68.97,-8.118,125.549
1.388,0.407,-0.043,29.724,-45.41,123.474
0.875,0.737,0.055,0.244,-83.984,79.529
0.573,0.787,0.203,-18.25,-105.591,27.527
0.503,0.633,0.376,-20.264,-99.854,-0.977
0.599,0.472,0.465,-7.446,-67.932,-0.305
0.745,0.425,0.416,0.977,-27.039,15.137
0.852,0.488,0.271,7.69,8.85,30.64
0.907,0.59,0.083,18.25,25.085,36.133
0.898,0.648,-0.091,22.217,14.221,23.682
0.834,0.594,-0.154,14.526,-14.404,3.967
0.815,0.443,-0.057,-0.061,-43.64,-10.803
0.859,0.289,0.141,-9.399,-59.631,-14.404
0.902,0.204,0.35,-10.254,-52.49,-6.226
0.923,0.21,0.471,-5.859,-24.902,5.798
0.941,0.274,0.448,-1.465,10.681,15.32
0.998,0.348,0.293,4.944,34.973,17.212
1.103,0.381,0.083,5.432,33.997,8.606
1.214,0.328,-0.072,-3.235,9.155,-6.287
1.321,0.196,-0.088,-13.611,-20.63,-13.733
1.44,0.065,0.016,-14.099,-39.856,-9.155
1.568,-0.004,0.152,-6.714,-43.03,3.662
1.675,-0.021,0.257,4.456,-31.25,20.325
1.716,-0.005,0.301,17.334,-10.315,39.124
1.7,0.048,0.286,32.715,13.489,57.678
1.682,0.141,0.221,45.105,34.485,72.571
1.681,0.253,0.119,54.443,48.523,79.407
1.684,0.347,0.003,59.753,51.636,78.125
1.682,0.404,-0.09,55.42,42.542,70.435
1.653,0.419,-0.129,51.575,24.658,61.646
1.61,0.417,-0.106,56.58,7.324,56.396
1.59,0.423,-0.032,65.247,-3.845,51.88
1.604,0.418,0.077,67.871,-9.827,43.518
1.641,0.362,0.218,59.937,-12.878,30.64
1.68,0.236,0.375,44.006,-14.771,17.883
1.687,0.065,0.522,26.855,-14.038,13.977
1.655,-0.075,0.647,15.747,-7.996,24.597
1.619,-0.101,0.743,9.399,5.615,44.006
1.601,0.014,0.768,16.785,24.414,57.495
1.584,0.197,0.705,25.391,41.931,54.138
1.573,0.34,0.603,34.119,54.932,35.339
1.585,0.387,0.5,43.274,64.697,11.475
1.575,0.343,0.374,60.547,70.557,-7.996
1.505,0.253,0.224,61.462,65.857,-21.118
1.394,0.159,0.089,45.532,48.645,-25.513
1.315,0.072,0.006,11.169,21.851,-19.47
1.307,0.009,0,-19.653,-11.597,-6.104
1.333,-0.005,0.029,-42.114,-44.8,10.986
1.385,0.022,0.071,-73.547,-74.097,27.039
1.467,0.056,0.157,-112.488,-99.792,38.879
1.496,0.081,0.279,-140.564,-114.136,45.593
1.426,0.099,0.343,-142.578,-111.084,48.95
1.304,0.119,0.302,-138.062,-101.318,48.096
1.175,0.131,0.237,-139.343,-95.398,42.908
1.065,0.12,0.2,-133.423,-96.313,33.752
0.977,0.08,0.196,-128.174,-102.051,21.24
0.91,0.011,0.236,-132.629,-106.934,8.606
0.884,-0.085,0.31,-144.226,-104.614,2.869
0.912,-0.186,0.42,-157.043,-94.36,7.568
0.977,-0.252,0.54,-155.823,-75.378,21.606
1.01,-0.244,0.573,-134.399,-48.401,40.344
0.979,-0.149,0.469,-98.694,-24.902,55.481
0.91,-0.01,0.29,-52.979,-14.099,57.495
0.836,0.095,0.12,10.742,-19.226,42.542
0.782,0.113,-0.02,87.952,-40.649,14.282
0.728,0.032,-0.112,149.841,-76.477,-13.123
0.642,-0.126,-0.08,167.297,-104.858,-21.484
0.551,-0.29,0.08,144.287,-104.004,-8.667
0.494,-0.35,0.222,141.235,-74.707,15.564
0.48,-0.274,0.22,137.207,-30.579,34.058
0.525,-0.147,0.105,106.812,9.705,38.269
0.626,-0.075,-0.032,59.387,32.776,30.701
0.72,-0.123,-0.184,13.794,33.875,24.353
0.727,-0.231,-0.346,-41.809,13.611,26.794
0.652,-0.296,-0.485,-102.722,-20.63,39.185
0.564,-0.302,-0.553,-168.457,-58.044,54.688
0.507,-0.26,-0.499,-225.281,-85.938,66.467
0.468,-0.205,-0.335,-252.197,-93.872,71.96
0.403,-0.173,-0.146,-231.934,-80.566,70.496
0.304,-0.169,-0.028,-183.411,-52.063,65.063
0.207,-0.179,-0.013,-123.413,-17.09,59.082
0.142,-0.171,-0.071,-62.073,13.733,50.964
0.118,-0.153,-0.156,-1.587,33.63,37.598
0.128,-0.145,-0.24,55.664,40.466,20.874
0.17,-0.143,-0.272,93.323,37.354,5.249
0.246,-0.143,-0.197,118.347,33.203,-7.935
