aX,aY,aZ,gX,gY,gZ
1.08,0.34,0.26,-41.443,145.02,12.756
0.832,0.173,0.089,-58.228,114.38,14.099
0.583,-0.002,0.09,-60.303,88.562,27.771
0.396,-0.051,0.104,-54.871,71.045,46.326
0.288,-0.012,0.134,-43.457,47.974,56.213
0.228,0.058,0.27,-34.18,23.254,57.434
0.174,0.134,0.529,-17.517,8.85,53.162
0.112,0.176,0.761,7.202,13.55,43.64
0.047,0.215,0.833,28.137,21.851,35.034
-0.026,0.262,0.825,32.776,19.897,26.672
-0.101,0.266,0.84,29.907,9.888,17.395
-0.169,0.247,0.902,24.963,0.305,14.832
-0.231,0.274,0.943,15.259,-3.662,15.625
-0.305,0.308,0.904,-2.808,-12.146,9.766
-0.38,0.262,0.865,-15.564,-35.522,-0.549
-0.418,0.131,0.873,-20.569,-60.669,-11.414
-0.377,-0.027,0.91,-32.654,-87.952,-20.874
-0.27,-0.156,1.13,-45.715,-129.456,-28.076
-0.165,-0.229,1.627,-45.959,-160.034,-32.837
-0.128,-0.245,2.171,-47.546,-144.409,-36.377
-0.192,-0.237,2.531,-56.03,-96.191,-38.818
-0.313,-0.239,2.682,-53.955,-39.612,-38.574
